nombre_entidad,nit_entidad,nivel,orden,numero_de_resolucion,documento_contratista,nombre_contratista,numero_de_contrato,valor_sancion,fecha_de_publicacion,ruta_de_proceso,cod_depto,cod_mpio,dpto,nom_mpio
TOLIMA - INSTITUTO MUNICIPAL PARA EL DEPORTE Y LA RECREACIÓN DE IBAGUÉ - IMDRI,900406856,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,344 - 20/12/2016,9008293428,CONSORCIO JUEGOS NACIONALES,CONTRATO DE INTERVENTORIA N 120 DE 2015,965365357,2016-12-20T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=4856,73,73001,TOLIMA,IBAGUE
TOLIMA - GESTORA URBANA - BANCO INMOBILIARIO DE IBAGUÉ,809009742,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,226 DEL 22 OCTUBREDE 2018,7723223,GILBERTH SENDOYA SANCHEZ,043 DE 2018,249167,2018-10-22T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=8517,73,73001,TOLIMA,IBAGUE
TOLIMA - GESTORA URBANA - BANCO INMOBILIARIO DE IBAGUÉ,809009742,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,RESOLUCION 303 DEL 16 NOVIEMBRE DE 2018,900132251,AVILA LTDA AHORA AVILA SAS,018  DE 2014,175543984,2018-11-16T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=8516,73,73001,TOLIMA,IBAGUE
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,Resolución 010301 de 2016,8301178967,CONSTRUCCIONES AR & S LTDA,IDU-1947-2014,253362325,2016-11-21T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=4836,11,11001,BOGOTA,BOGOTA
SUPERINTENDENCIA NACIONAL DE SALUD (SUPERSALUD),860062187,NACIONAL,NACIONAL DESCENTRALIZADO,2028,900873589,CONSORCIO AUDISUPERSALUD 2015,105 DE 2015,18544822,2015-11-04T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2912,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,Ejecutoria Resol. 61909 de 2015,12130663,LUIS ENRIQUE OLAYA ALBA,IDU-553-2015,4620000,2016-04-29T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3462,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,Resolución 011040 de 2016,8301178967,CONSTRUCCIONES AR & S LTDA,IDU-1947-2014,218582081,2016-12-22T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=4837,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,RESOLUCION 7720 DE 2016,8300718129,DISEÑO JURIDICO Y FINANCIERO ABOGADOS LTDA,IDU-43-2011,0,2016-07-29T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3935,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - TRANSMILENIO,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,239,900398793,EGOBUS SAS,CTO13-10,0,2016-04-25T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3459,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - TRANSMILENIO,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,234,900396145,COOBUS SAS,CTO05-10,0,2016-04-25T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3454,11,11001,BOGOTA,BOGOTA
EJÉRCITO NACIONAL,NO DEFINIDO,NACIONAL,NACIONAL CENTRALIZADO,091-2014,9002515990,STAIR CARGO INC,225-JEAVE-2012,40319295,2014-04-15T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=608,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,Resolución 30109 de Abril 29 de 2015,9006863748,CONSORCIO PV AVENIDA JIMENEZ,IDU-2172-2013,112115589,2015-04-29T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2163,11,11001,BOGOTA,BOGOTA
UNIDAD DE GESTIÓN PENSIONAL Y PARAFISCALES (UGPP),900373913,NACIONAL,NACIONAL DESCENTRALIZADO,509 DEL 14 DE MARZO DE 2017,80739387,PABLO ENRIQUE LIMA MONTENEGRO,03.351-2016,118328,2017-03-14T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=5295,11,11001,BOGOTA,BOGOTA
UNIDAD DE GESTIÓN PENSIONAL Y PARAFISCALES (UGPP),900373913,NACIONAL,NACIONAL DESCENTRALIZADO,RESOLUCION 444,26567162,MIGDONIA PATRICIA ORDOÑEZ MUÑOZ,03.289-2015,3126666,2015-05-15T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2183,11,11001,BOGOTA,BOGOTA
AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO (ANDJE),900507741,NACIONAL,NACIONAL CENTRALIZADO,039-2015,8605100317,GRUPO ASESORIA EN SISTEMATIZACION DE DATOS SAS,147-2013,247933482,2015-02-09T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2471,11,11001,BOGOTA,BOGOTA
ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,901037916,NACIONAL,NACIONAL DESCENTRALIZADO,RESOLUCION 41549 DE 2019,1067811412,JORGE HUMBERTO FERIAS MANJARRES,ADRES-CTO-137-2019,3797492,2019-11-07T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=9079,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,RESOLUCION  4351 DE 2016,1019106202,PAOLA ANDREA PACHON ORTEGA,IDU-1356-2015,1125000,2016-03-29T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3417,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,84753 de 2014,9003812266,IV INGENIEROS CONSULTORES SUCURSAL COLOMBIA SA,IDU-2226-2013,260349784,2014-10-03T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=1297,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - INSTITUTO DISTRITAL DE RECREACIÓN Y DEPORTE,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,RESOLUCION 805 DE 2015,52309558,ADRIANA DEL PILAR LEON CIFUENTES,IDRD-CTO-2964-2015,45420,2015-10-06T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2831,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - UNIDAD ADMINISTRATIVA ESPECIAL DE CATASTRO DISTRITAL,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,RESOLUCIOM No 068 DE 2015,900214425,OB INGENIERIA SAS,UAECD-CPS-267-2014,412902,2015-11-25T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2959,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - SECRETARÍA DISTRITAL DE AMBIENTE,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,SDA-DGC-SC-ADBP-004 DE 2015,1032365161,LUIS ELIECER HURTADO BLANCO,SDA-1560-2012,58250,2015-06-24T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2475,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - SECRETARÍA DISTRITAL DE AMBIENTE,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,SDA-DGC-SC-ADBP-009 DE 2015,1033740778,MYLE ROCIO RUIZ AGUDELO,SDA-1514-2012,233000,2015-07-13T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2479,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - ORQUESTA FILARMONICA,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,245,800184048,RIVEROS BOTERO COMPAÑIA LIMITADA,619-2016,187419,2016-06-21T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=4155,11,11001,BOGOTA,BOGOTA
MINISTERIO DE TRANSPORTE (MINTRANSPORTE),899999055,NACIONAL,NACIONAL CENTRALIZADO,Resolucion 4410 del 26 de Octubre de 2015,830069296,ITELCO IT SAS,474 DE 2014,107376283,2015-10-26T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2931,11,11001,BOGOTA,BOGOTA
SUPERINTENDENCIA NACIONAL DE SALUD (SUPERSALUD),860062187,NACIONAL,NACIONAL DESCENTRALIZADO,9740,9010289154,CONSORCIO AIGPE & HAGGEN AUDIT,254 DE 2016,312053682,2019-11-12T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=9078,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,CONSTANCIA EJECUTORIA IDU-43-2011,8300718129,DISEÑO JURIDICO Y FINANCIERO ABOGADOS LTDA,IDU-43-2011,0,2016-08-01T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3936,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - INSTITUTO DISTRITAL DE RECREACIÓN Y DEPORTE,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,RESOLUCION 752 DE 2015,82360170,GUSTAVO ALBEIRO MOSQUERA MOSQUERA,IDRD-CTO-2225-2015,559050,2015-09-23T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2833,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - EMPRESA DE RENOVACIÓN Y DESARROLLO URBANO DE BOGOTÁ D.C.,830144890,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,016,37751141,MAGDA LILIANA DIAZ MESA,048,3095736,2014-04-14T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=283,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,Resolución 44374 de 2015,9007662331,CONSORCIO ESPACIOS URBANOS 009,IDU-1275-2014,145271808,2015-06-19T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2307,11,11001,BOGOTA,BOGOTA
UNIDAD DE GESTIÓN PENSIONAL Y PARAFISCALES (UGPP),900373913,NACIONAL,NACIONAL DESCENTRALIZADO,RESOLUCIÓN 1399 DEL 26-10-2017,9008093730,UNION TEMPORAL ADMINISTRACION INTEGRAL 2014,03.256-2015,333603909,2017-10-26T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=6257,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - TRANSMILENIO,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,241,900396145,COOBUS SAS,CTO05-10,0,2016-04-26T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3474,11,11001,BOGOTA,BOGOTA
SUPERINTENDENCIA NACIONAL DE SALUD (SUPERSALUD),860062187,NACIONAL,NACIONAL DESCENTRALIZADO,855,8300606609,HAGGEN AUDIT LTDA,103 DE 2015,35657463,2016-03-22T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3280,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - JARDÍN BOTÁNICO,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,318-2014,80144812,JUVENAL BELTRAN FORERO,JBB-CTO-301-2014,1421700,2014-11-20T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2675,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - SECRETARÍA DE EDUCACIÓN,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,6017,79325053,HERNAN CARRASQUILLA CORRAL,1217-2015,1129333,2016-11-22T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=4657,11,11001,BOGOTA,BOGOTA
AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,RESOLUCION 592-2014,8908043789,DATAPOINT DE COLOMBIA SAS,VPRE-288,73037325,2014-04-22T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=727,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - CAJA DE VIVIENDA POPULAR,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,RESOLUCION 2126,900685628,CONSORCIO CVP GP 2,CVP-CTO-589-2013,79922461,2015-09-02T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2692,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - SECRETARÍA DISTRITAL DE AMBIENTE,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,SDA-DGC-SC-ADBP-005 DE 2015,79770112,DANIEL OSCAR ROLANDO BURGOS DAVILA,SDA-1567-2012,58250,2015-06-24T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2476,11,11001,BOGOTA,BOGOTA
UNIDAD DE GESTIÓN PENSIONAL Y PARAFISCALES (UGPP),900373913,NACIONAL,NACIONAL DESCENTRALIZADO,RESOLUCIÓN 516,9001904588,SERVIPOSTAL LOGISTICA NACIONAL SAS,03.357-2015,2406903,2015-06-01T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2411,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - CAJA DE VIVIENDA POPULAR,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,0025-2016,900685628,CONSORCIO CVP GP 2,CVP-CTO-589-2013,26374412,2016-01-13T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3307,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - TRANSMILENIO,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,561,8600627192,ANGELCOM SA,S/N-2000,35812200,2014-10-08T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=1886,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,CONSTANCIA EJECUTORIA,9004860372,CONSULTORIA INSAMI DE COLOMBIA Y ASOCIADOS SAS,IDU-568-2014,41363937,2014-12-18T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=1595,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,Resolución 3179 del 16 de Diciembre del 2013,8001460776,ASEOCOLBA SA,IDU-13-2012,83522412,2013-12-16T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=161,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDIPRON,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,1492016,830017343,REFRIPLAST LTDA,20151634,3430000,2016-05-12T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3738,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,Resolución 009019 de 2016,9007789885,CONSORCIO LA SIRENA 2014,IDU-1654-2014,2160736238,2016-09-27T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=4276,11,11001,BOGOTA,BOGOTA
EJÉRCITO NACIONAL,NO DEFINIDO,NACIONAL,NACIONAL CENTRALIZADO,246-JEAVE-2012,9005787192,UNIONTE TEMPORAL NORSUR,246-JEAVE-2012,182879,2014-03-03T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=628,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - UNIDAD ADMINISTRATIVA ESPECIAL DE SERVICIOS PUBLICOS,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,RESOLUCION 073 DE 2017,9004388413,COMINCOL SAS,365-2016,2784000,2017-02-27T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=5115,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - SECRETARÍA DE EDUCACIÓN,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,RESOLUCIÓN 000395,8600669427,CAJA DE COMPENSACION FAMILIAR COMPENSAR,2773-2013,19596069,2017-03-30T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=5417,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IED. ANTONIO GARCIA,NO DEFINIDO,TERRITORIAL,NACIONAL DESCENTRALIZADO,CMC-CAG-2014-006,52100515,LUZ DARY VARON,006,0,2014-01-20T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=773,11,11001,BOGOTA,BOGOTA
DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),899999027,NACIONAL,NACIONAL CENTRALIZADO,RESOLUCIÓN - 100,1014197171,GUILLERMO URBANO ARDILA,"256 de 2017,",1321000,2017-08-08T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=5956,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - SECRETARÍA DE EDUCACIÓN,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,6050,19440097,RAMIRO RODRIGUEZ LOPEZ,1753-2015,9413955,2016-11-16T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=4731,11,11001,BOGOTA,BOGOTA
UNIDAD DE GESTIÓN PENSIONAL Y PARAFISCALES (UGPP),900373913,NACIONAL,NACIONAL DESCENTRALIZADO,678,900373913,SERVIPOSTAL SAS,03.357-2015,0,2015-07-17T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2432,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - INSTITUTO DISTRITAL DE RECREACIÓN Y DEPORTE,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,RESOLUCION 833 DE 2015,79751547,CARLOS ALBERTO PEREZ VELASQUEZ,IDRD-CTO-3310-2015,55920,2015-10-15T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2834,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,Resolución 2128 de 2015,8300104877,PABLO EMILIO BOCAREJO INGENIEROS CONSULTORES & CIA,IDU-43-2012,22450148,2015-02-09T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=1925,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - FONDO FINANCIERO DISTRITAL DE SALUD,NO DEFINIDO,TERRITORIAL,NACIONAL DESCENTRALIZADO,3443,79687293,JUAN MANUEL MANJARRES MANJARRES,1237-2017,1785600,2019-12-13T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=9198,11,11001,BOGOTA,BOGOTA
SUPERINTENDENCIA NACIONAL DE SALUD (SUPERSALUD),860062187,NACIONAL,NACIONAL DESCENTRALIZADO,2024,8300606609,HAGGEN AUDIT LTDA,103 DE 2015,1141039,2015-11-03T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2911,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,RESOLUCION NUMERO 004690 DE 2017,8300414110,CONSULTORIA Y CONSTRUCCION SAS - CON  & CON SA,IDU-1246-2014,156808190,2017-10-13T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=6235,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - TRANSMILENIO,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,249,900398793,EGOBUS SAS,CTO12-10,0,2016-04-28T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3477,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - SECRETARÍA DE INTEGRACIÓN SOCIAL,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,1515,51945106,ALBA ROCIO BELTRAN ROMERO,3138,118240,2016-11-08T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=4576,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,RESOLUCION 5090 DE 2016,79398808,FERNANDO HERNANDEZ ALEMAN,IDU-1453-2014,3375000,2016-04-29T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3494,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,Resolución 3797 de 2015,8604512531,CIVING INGENIEROS CONTRATISTAS SAS,IDU-1840-2013,23607740,2015-01-22T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2150,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - UNIDAD ADMINISTRATIVA ESPECIAL DE CATASTRO DISTRITAL,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,000021,80153034,PABLO ANDRES RINCON OSPINO,UAECD-CPS-214-2016,3945600,2017-07-24T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=5896,11,11001,BOGOTA,BOGOTA
BOGOTÁ D.C. - IDU,NO DEFINIDO,TERRITORIAL,DISTRITO CAPITAL,CONSTANCIA EJECUTORIA RESOLUCION 5090 DE 2016,79398808,FERNANDO HERNANDEZ ALEMAN,IDU-1453-2014,3375000,2016-05-02T00:00:00.000,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=3495,11,11001,BOGOTA,BOGOTA
